ID,Airline,Tail,ACPU_Version,KANDU_Version,Modem_Version,Aircraft_Type,Flight_Num,Departure_Airport,Arrival_Airport,Departure_Date_UTC,Arrival_Date_UTC,ASA_Mins,Theory_Availability,Actual_Time,Handoff_Time,Not_Connected_Time,Regulatory_Time,Out_Of_Network_Time,ACPU_Reset_Time,Ping_Availability,VTP_Ping_Availability,RTT_30,RTT_50,RTT_95,RTT_Average,Ux_Low_Rate,Ux_Median_Rate,Num_VTP_Resets,Num_VTP_Timeouts,Beams,HO_Success,HO_Failures,HO_Times,Forward_Link_Bytes,Reverse_Link_Bytes,GNMS_Forward_Link_Bytes,GNMS_Reverse_Link_Bytes,Modem_Forward_Link_Bytes,Modem_Reverse_Link_Bytes,Max_Num_Auth_Pass,Num_ACPU_Resets
9587199,DAL,N335NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL1079,KSEA,KSAN,12/7/19 15:51,12/7/19 18:24,138,100,100,0,0,0,0,0,91.8,91.8,645,679,1267,770,11.05,21.78,0,13,3,2,0,0,13971.9,333.5,1206.6,139.1,13822.7,166.8,18,0
9586965,DAL,N324NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL1844,KSLC,KSFO,12/7/19 15:55,12/7/19 17:39,87,100,100,0,0,0,0,0,97.7,97.3,670,681,1135,729,68.94,68.94,0,4,3,2,0,0,8391.5,164.7,515.7,84.5,8266.5,82,11,0
9591045,DAL,N347NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL2020,KSEA,KSAN,12/7/19 17:50,12/7/19 20:18,132,100,99.5,0,0.5,0,0,0,97.4,96.7,641,662,735,679,11.63,14.01,0,6,3,2,0,0,13262.3,421.3,1101.1,211.6,13078,201.3,15,0
9589775,DAL,N806DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL434,KMSP,KSLC,12/7/19 17:55,12/7/19 20:26,131,99.2,91.5,0,1.4,0,0.8,6.3,76,71.5,648,655,700,666,19.21,19.21,0,29,3,2,0,0,12969.4,447.8,1602,242.1,12853.9,223.8,21,1
9587647,DAL,N844DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL2342,KDTW,KTPA,12/7/19 17:55,12/7/19 19:59,106,100,100,0,0,0,0,0,98.4,97.2,656,666,706,672,48.79,58.39,0,0,1,0,0,,12749.2,343.3,3203,167.2,12686.5,170,21,0
9593093,DAL,N343NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL2355,KAUS,KJFK,12/7/19 19:37,12/7/19 22:44,171,100,100,0,0,0,0,0,99.6,99.4,642,648,690,656,16.94,30.47,0,0,1,0,0,,21073.6,1496.1,5608.5,760.6,20911.9,742.3,43,0
9589731,DAL,N323NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL348,KSEA,KSAN,12/7/19 20:10,12/7/19 22:40,133,100,94.3,3.4,2.3,0,0,0,91.3,90,653,671,829,687,12.11,16.3,0,6,3,3,1,404,12950.3,752,1072.9,341,12791.1,357.1,14,0
9592747,DAL,N370DN,10.11.0,05.32.01,50.10.23.22,321-200,DAL829,KMSP,KSLC,12/7/19 20:35,12/7/19 23:32,135,100,99,0,1,0,0,0,87.8,87,648,658,1052,711,52.64,52.64,0,18,3,2,0,0,14796.1,2735.3,3580.9,1252.7,14690.2,1330.4,24,0
9599569,DAL,N858DZ,10.11.0,05.32.01,50.10.23.22,737-900,DAL1621,KDTW,KTPA,12/7/19 21:14,12/7/19 23:18,105,100,100,0,0,0,0,0,93.1,92.8,659,679,1692,869,20.86,20.86,0,7,1,0,0,,10352.9,377.8,629.6,159.7,10169.1,180.4,15,0
9593185,DAL,N113DQ,10.11.0,05.32.01,50.10.23.22,220-100,DAL522,KSLC,KSFO,12/7/19 21:25,12/7/19 23:16,91,100,100,0,0,0,0,0,97.8,96.3,663,680,1117,740,66.56,66.56,0,4,3,2,0,60,9031,288.3,797.7,145.5,8859.1,136.4,16,0
